Name,Team,Stf+ FA,botOvr FA,Stf+ CH,botOvr CH,NameASCII,PlayerId,MLBAMID
"Chris Bassitt","OAK",83.18264150943396,47.850675849056614,80.23577235772359,50.08548926829267,"Chris Bassitt",12304,605135
"Max Fried","ATL",82.87699115044248,56.08167932153392,76.29166666666667,57.92687,"Max Fried",13743,608331
"Kenta Maeda","MIN",81.75397727272727,40.623625568181815,,,"Kenta Maeda",18498,628317
"Mike Minor","KCR",81.75235404896422,58.391712391713746,113.07472924187726,56.73270444043321,"Mike Minor",10021,501985
"Brett Anderson","MIL",81.13333333333333,20,74.20566037735848,41.989889308176096,"Brett Anderson",8223,474463
"Wade Miley","CIN",80.76586826347304,47.68495125748503,93.05277777777778,50.81337510416667,"Wade Miley",8779,489119
"Matt Shoemaker","MIN",80.46745283018868,45.78871306603774,,,"Matt Shoemaker",4776,533167
"Eduardo Rodriguez","BOS",79.75134474327628,52.33471919315404,90.5443298969072,59.8045670790378,"Eduardo Rodriguez",13164,593958
"Trevor Cahill","PIT",79.58461538461538,46.14921307692308,74.41554054054055,58.6258506081081,"Trevor Cahill",6249,502239
"JT Brubaker","PIT",79.36583333333333,40.264415875000005,80.21451612903225,49.917127096774195,"JT Brubaker",17578,664141
"Adam Wainwright","STL",79.18029197080294,38.320966569343064,86.96338028169016,51.06083169014084,"Adam Wainwright",2233,425794
"Adrian Houser","MIL",79.17142857142858,34.99561378571429,79.42222222222223,44.84602601851852,"Adrian Houser",12718,605288
"Erick Fedde","WSN",79.16666666666667,25.405910000000002,91.18118811881187,43.23154267326733,"Erick Fedde",17425,607200
"Zack Greinke","HOU",78.65977653631286,47.70514690875232,111.87392857142858,52.23015639285714,"Zack Greinke",1943,425844
"Jordan Montgomery","NYY",78.64404761904763,52.65811434523808,103.3136186770428,60.3136726459144,"Jordan Montgomery",16511,656756
"Austin Gomber","COL",78.58354430379747,52.29079698312237,76.78104265402843,54.31895364928911,"Austin Gomber",16561,596295
"David Peterson","NYM",78.20537190082645,46.31953,98.52198581560285,50.32325773049646,"David Peterson",20302,656849
"Jon Gray","COL",77.51714285714284,44.24169848979592,76.00247933884297,45.94496727272727,"Jon Gray",14916,592351
"Patrick Corbin","WSN",77.45491803278688,48.1791724863388,55.25454545454546,54.13711545454545,"Patrick Corbin",9323,571578
"Ryan Yarbrough","TBR",76.35999999999999,42.668519999999994,63.837610619469025,56.58968088495575,"Ryan Yarbrough",16502,642232
"Kwang Hyun Kim","STL",76.32507122507123,37.56540905982906,67.34588235294117,50.44118788235294,"Kwang Hyun Kim",27458,547942
"Carlos Martinez","STL",75.60790378006874,41.647196013745706,107.34806201550388,62.12247534883722,"Carlos Martinez",11682,593372
"Hyun Jin Ryu","TOR",74.85160427807487,53.19465828877005,82.1266862170088,65.5553948680352,"Hyun Jin Ryu",14444,547943
"Chase Anderson","PHI",74.32672811059906,37.52562668202766,114.25481927710842,62.97076596385541,"Chase Anderson",6895,502624
"Ryan Weathers","SDP",73.7653846153846,47.86217149572649,64.78200000000001,33.9141928,"Ryan Weathers",23796,677960
"Germán Márquez","COL",73.43333333333334,36.96341578853047,48.07083333333333,38.465985833333335,"German Marquez",15038,608566
"Aaron Civale","CLE",72.11945288753797,38.765666534954406,,,"Aaron Civale",19479,650644
"Zach Plesac","CLE",72.02737430167598,50.55491877094972,81.40670103092783,63.37186701030927,"Zach Plesac",19979,668676
"Ross Stripling","TOR",70.96407185628742,43.902077874251496,111.33829787234042,67.8611520212766,"Ross Stripling",13273,548389
"Dane Dunning","TEX",69.92857142857143,52.667480000000005,62.43688524590164,54.2749831147541,"Dane Dunning",19409,641540
"Michael Pineda","MIN",69.84101479915434,49.69906902748415,81.72204724409448,47.47547622047244,"Michael Pineda",5372,501381
"Brady Singer","KCR",69.81739130434784,20,57.19787234042553,36.23733,"Brady Singer",25377,663903
"Justus Sheffield","SEA",69.6,37.339040000000004,72.88297872340425,45.350120468085116,"Justus Sheffield",17285,656954
