Season,Name,Team,Stf+ FA,botOvr FA,Stf+ CH,botOvr CH,NameASCII,PlayerId,MLBAMID
2023,"Justin Steele","CHC",87.52324860508368,62.67794405455672,69.24615384615385,26.95407423076923,"Justin Steele",17312,657006
2023,"Hunter Greene","CIN",127.11539145907471,61.45777759786476,69.1981651376147,34.91620385321101,"Hunter Greene",22182,668881
2022,"Chris Bassitt","NYM",79.82559366754617,49.062249472295534,69.05314285714284,36.59813262857141,"Chris Bassitt",12304,605135
2022,"Zach Thompson","PIT",54.42164948453608,37.18301855670104,69.0171597633136,52.004216982248515,"Zach Thompson",16094,605507
2023,"Trevor Williams","WSN",81.28824609733701,59.58479190261497,68.82831050228309,44.73679921171172,"Trevor Williams",16977,592866
2022,"Paul Blackburn","OAK",78.04393939393938,38.91956075757576,68.49686098654708,50.5591200896861,"Paul Blackburn",14739,621112
2023,"Alek Manoah","TOR",90.55285714285715,44.19631875510205,68.44999999999997,41.12635374999999,"Alek Manoah",26410,666201
2022,"Austin Gomber","COL",70.28529886914377,45.194531033925685,68.34208333333335,56.53993420833334,"Austin Gomber",16561,596295
2023,"Chase Anderson","COL",66.26725,36.8826824,68.14508474576272,59.55325030508475,"Chase Anderson",6895,502624
2023,"Jack Flaherty","- - -",97.95464015151515,48.54591682765151,68.03837209302326,32.55828302325582,"Jack Flaherty",17479,656427
2022,"Glenn Otto","TEX",82.35596153846154,40.07416201923077,67.36777777777777,40.332946222222226,"Glenn Otto",21366,657248
2023,"Adam Wainwright","STL",79.84642857142858,41.16862178571429,67.35164835164835,26.446333846153852,"Adam Wainwright",2233,425794
2023,"Patrick Corbin","WSN",64.93987975951904,41.354009819639266,66.32620320855617,51.32276951871658,"Patrick Corbin",9323,571578
2023,"Paul Blackburn","OAK",77.37490347490348,38.90260420849422,66.25853658536586,50.19057804878047,"Paul Blackburn",14739,621112
2022,"Ranger Suárez","PHI",62.748451327433635,51.751414115044234,66.06277372262774,45.655878631386855,"Ranger Suarez",17277,624133
2022,"Miles Mikolas","STL",77.16120283018867,56.3541733490566,65.70238095238095,59.79087261904762,"Miles Mikolas",9803,571945
2022,"Johnny Cueto","CHW",84.53250564334085,48.908406433408565,65.39758771929823,43.749466052631576,"Johnny Cueto",6893,456501
2022,"Brady Singer","KCR",64.92,20,64.85611111111112,35.70406672222222,"Brady Singer",25377,663903
